zipcode,licenses
01923,1
63005,7
63006,1
63010,24
63011,14
63012,5
63013,1
63015,1
63016,4
63017,4
63019,1
63020,15
63021,7
63023,3
63025,7
63026,12
63028,11
63031,4
63033,1
63036,1
63037,2
63038,4
63040,2
63042,3
63043,7
63044,5
63045,1
63048,1
63049,13
63050,11
63051,4
63052,11
63055,3
63056,2
63060,3
63068,6
63069,8
63070,7
63072,4
63074,3
63077,5
63080,7
63084,13
63087,1
63088,5
63089,4
63090,13
63091,2
63103,2
63105,8
63106,1
63109,3
63110,5
63111,4
63114,8
63116,3
63118,4
63119,4
63121,3
63122,7
63123,14
63124,3
63125,5
63126,10
63127,2
63128,4
63129,8
63130,1
63131,8
63132,2
63133,2
63134,1
63135,1
63136,1
63137,1
63139,1
63141,4
63143,3
63144,1
63146,4
63147,1
63301,19
63303,11
63304,6
63332,2
63333,1
63334,8
63336,1
63339,1
63341,1
63343,6
63344,2
63347,1
63348,3
63349,4
63351,1
63352,1
63353,3
63357,2
63359,2
63361,5
63362,1
63363,3
63366,14
63367,1
63368,10
63373,1
63376,14
63377,2
63379,20
63380,1
63382,2
63383,7
63384,3
63385,12
63388,1
63389,4
63390,5
63401,8
63434,1
63435,3
63436,1
63437,1
63440,1
63443,1
63445,3
63446,1
63447,2
63448,3
63453,2
63456,4
63459,5
63460,1
63461,6
63462,6
63463,3
63468,4
63471,2
63473,3
63501,8
63530,1
63532,1
63534,1
63536,2
63537,3
63538,1
63539,1
63544,1
63545,1
63546,2
63548,1
63549,2
63552,7
63555,3
63556,3
63558,1
63565,3
63601,5
63620,2
63621,3
63623,1
63624,2
63625,2
63626,1
63627,4
63628,7
63629,1
63630,2
63631,2
63633,1
63636,1
63638,4
63640,12
63645,6
63648,1
63654,1
63656,1
63660,2
63662,5
63663,1
63664,10
63670,11
63673,2
63701,13
63702,1
63703,3
63730,1
63732,3
63736,4
63739,1
63740,5
63746,2
63747,1
63748,2
63751,1
63755,15
63764,4
63766,2
63767,1
63769,1
63771,3
63775,13
63780,1
63787,1
63801,13
63821,2
63822,2
63825,4
63826,2
63829,2
63830,4
63834,2
63841,10
63845,1
63848,1
63851,2
63857,12
63863,4
63866,2
63869,1
63873,1
63876,1
63877,2
63881,1
63901,29
63933,4
63935,6
63937,3
63939,1
63944,2
63953,3
63957,6
63960,3
63961,1
63965,3
63967,1
64011,4
64012,11
64013,2
64014,4
64015,6
64016,2
64018,1
64020,3
64024,5
64029,8
64030,3
64034,2
64037,1
64040,7
64048,3
64050,4
64051,1
64052,4
64055,2
64056,5
64057,1
64060,13
64061,3
64063,6
64064,5
64067,3
64068,8
64070,4
64075,1
64076,5
64078,9
64079,2
64080,7
64081,8
64082,5
64083,7
64084,4
64085,4
64086,10
